text,probability
รับเงินเดือนเท่าไหร่อ่ะ,0.8058
สวัสดีค่า อยากฟังรีวิวของวิชา DM201 อ่ะค่ะ มีใครเคยเรียนบ้างมั้ยเอ่ยย,0.8058
"วันนี้นั่งเม้าเรื่อง #บอยสกล กับเพื่อน แล้วเพื่อนเราบอกว่าที่แพทย์รามาก็ชอบมีคนเข้าไปนั่ง sit in แบบอยากเรียนแต่สอบไม่ติดก็เลยเข้าไปนั่งเอาความรู้ไรงี้ มีแบบนี้ด้วยหรอ⁉️😳
ปล. เพื่อนเราอยู่จุฬานะ จริงไม่จริงไม่รู้ ไม่รู้ด้วยว่านางเอามาจากไหน
วอนผู้รู้มาตอบหน่อยฮะ555",0.8058
พอเข้ามหาลัยจริงๆแทบไม่ได้คุยกันเลยจะ5ปีแล้วนะเว้ย เรียนใกล้แต่ไม่เคยเจอ คิดถึงกันบ้างไหม? #เพื่อนมัธยม,0.8058
ใครพอจะแนะนำมุมถ่ายรูปในมอ น่ารักได้บ้างมั้น,0.8058
ความสัมพันธ์อะไรไม่รู้คุยทุกวันแต่พี่น้องกันงี้หรอ,0.8058
ก้าวทำไมไปร้องหลบมุมตรงนั้น,0.8058
"เธอๆรู้มั้ย หมู อะไรเรียนไม่เก่ง ?
.
.
.
.
.
หมูซ้ำชั้นไง ........ หมูสามชั้น --* พล่ามม",0.8058
ตอนนี้ที่สนามหลวงคนเยอะมั้ยคะ,0.8058
หิวจังกินไรดีอะ,0.8058
ตอนนี้ที่ไปเทคแถวยาวถึงไหนค่ะ,0.8059
มีใครอยู่วัดดวงแข คนเยอะมั้ยคะ,0.8059
เอาไว้ค่อยคุยได้ไหม,0.8059
ลองคบกับเราไหม ตอบตลอดถ้ามีเวลาว่าง ถ้าหายไปคือ เล่นเกมส์ นอน ทำการบ้าน ไม่ก็ทำการบ้านแค่นั้น 55555,0.8059
ไบเทค มีคนมารอหรือยังครับตอนนี้,0.8059
อยู่ปี 4 แล้ว อยากเข้าชุมนุมดนตรีไทย เคยเป็นระนาดเอกของโรงเรียน อยากกลับไปเล่น TT เดี๋ยวนี้ไม่ได้จับเลย,0.8059
วงอะไรดี อันไหนอร่อย #รางเมนข้อสอบ,0.8059
เอาไว้ค่อยคุยได้ไหม,0.8059
ถ้าเลือกเขาก็ปล่อยผมไปได้มั้ย,0.8059
ลองคบกับเราไหม ตอบตลอดถ้ามีเวลาว่าง ถ้าหายไปคือ เล่นเกมส์ นอน ทำการบ้าน ไม่ก็ทำการบ้านแค่นั้น 55555,0.8059
ทำไมต้องชอบคนที่ไม่ชอบเรา,0.8059
อยากได้รีวิวอาหารแถวยูแสควร์ค่ะ เอาทั้งอร่อยมั้ย ราคาเป็นไงแล้วก็สั่งหรือจ่ายเงินยังไงด้วยแบบ เค้าเดินมาเก็บหรือเราเดินไปจ่าย คือไม่อยากเข้าไปแล้วเด๋อค่ะ เพราะเป็นคนเด๋อเก่ง55555,0.806
จริงๆก็ไม่ได้เป็นอะไรนะ แต่พอมีคนถาม 'เป็นอะไรรึป่าว' กลับน้ำตาไหล ร้องไห้เฉย ทำไมอ่อนไหวและอ่อนแอง่ายจัง เบื่อตัวเอง,0.806
"มีใครเดาออกมั้ยเอ่ยย
ว่ามาจากเพลงอะไร",0.806
"มีใครเดาออกมั้ยเอ่ยย
ว่ามาจากเพลงอะไร",0.806
"มีใครเดาออกมั้ยเอ่ยย
ว่ามาจากเพลงอะไร",0.806
"มีน้อง DMมาถาม  ""พี่เรียนเภสัชเพราะพลาดจากหมอหรอคะ"" เอ้าาาาา 🙄🙄🙄🙄 อยากตอบไปว่า คำถามนี้ไม่สมควรถามนะคะ 5555555",0.806
มีใครเรียนพวก illustrator photoshop premiere บ้างงงง สอนเค้าโหน่ยยยย พื้นฐานก็ด้ายย,0.806
"มีใครเคยเรียนวิชา
Festival and special event management กับ digital marketing บ้างคะ ขอปรึกษาหน่อยย",0.806
ฝึกงานมันดีอย่างงี้,0.806
ติดไฟแดงค่ะ,0.806
ตอนนี้จุดคัดกรองยังเปิดให้เข้ามั้ยครับ ผมยุบางใหญ่กำลังจะไปถ้าไปจะได้เข้ามั้ยครับ,0.806
หิว ใครใจดีไปเซเว่นให้หน่อย,0.806
อยากเข้า มศว นวัตกรรม พี่ๆติวให้หน่อยดิ,0.806
เคยรู้สึกดีกับใครสักคนละอยากคุยกะเค้าทุกวันปะ,0.806
ใครเคยดูดวงที่ถนนเดินบ้าง? แล้วเขาดูแม่นไหม??,0.806
หอในไม่อยู่ต่อซัมเมอร์ เเละเทอมหน้า(1/2561) ต้องไปที่ตึก14ชั้น ภายในวันที่30นี้ใช่ป่ะครับ,0.8061
ืี่ที่ราชมงคล เป็นอย่างไรบ้างคะ,0.8061
อยากบนให้ได้เกรดดีๆ มีที่แนะนำไหมมม,0.8061
ประโยคแรกที่จะเริ่มจีบกัน ควรเริ่มจากอะไรดี,0.8061
exchange studentฝรั่งไปกระจุกกันอยู่ที่คณะไหนกันนัก!!! ทำไมคลาสชุ้นมีแต่เพื่อนเอเชียเกือบทุกเทอม นี่เป็นสายฝ.ไง อยากได้ความซู่ซ่ากระชุ่มกระชวยหัวใจบ้าง5555555 ทุกวันนี้มีแต่เพื่อนผู้หญิงเอเชีย😂,0.8062
ติดตามเรามั้ย เราเก่ง,0.8062
เทตัวเองได้ไหม เหนื่อยเหลือเกิน😭,0.8062
เครื่องซักผ้าหยอดเหรียญหอBอยู่ตรงไหน ทำไมเหมือนทุกคนเจอแต่นี่ไม่เคยเจอสักที,0.8062
อยากเปลี่ยนรูปโปรเป็นเด็ก มช  แล้วอะ 💜,0.8062
คิดยังไงกับ คณะนี้,0.8062
เห็นเด็กสาธิตเกษตรแล้วอยากเลย อยากซิ่วไปเรียนอนุบาล,0.8063
น่ำหอมยี่ห้อไหนดี แนะนำจะซื้อใช้บ้าง,0.8063
อยู่คณะไหนกันบ้างงง...,0.8063
คิดยังไงกันกับเด็กวิศวะ 55,0.8063
เซเว่นในมอ มีผักโขมอบชีสมั้ยอ่า เห็นเซเว่นที่อื่นมันมี,0.8063
ขอวิธีทำใจที่เพื่อนสนิทที่สุดในคณะจะซิ่วหน่อยสิ;;,0.8063
ทำไมตรงนั้นไม่ใช่ผมทั้งๆที่ควรเป็นผม.,0.8063
ใช้ทุกคืนอ่ะ #memer,0.8063
เกิดไรขึ้น ปิดไมค์ไร ไม่ไปอะตามไม่ทัน😂,0.8064
เอาไก่มาเลียนแบบผักแทนได้มั้ย 🙈,0.8064
ใครอยู่แถวพหลบ้างง,0.8064
"ตอนไปเที่ยว vs ตอนไปม.
#memer",0.8064
อยากเรียนต่อมหิดลลลลล ฮรือออ,0.8064
รู้สึกหน่วงๆ #ripchester 😭😭😭,0.8064
เป็นเด็กวิทย์คณิต ที่ชอบวิทย์ แต่ไม่ชอบคณิต บร๊ะเจ้า!นี่กูเรียนไรอยู่ 555555,0.8064
เบื่อชีวิตมหาลัยที่ต้องมัวแต่คิดว่าคนอื่นจะคิดไงกับเรา..,0.8064
ควรนอนมะ?,0.8065
จะตั้งชื่อแมวตัวนี้ว่าอะไรดี ช่วยเราหน่อยสิ 😂,0.8065
เครียดอ่ะกลัวไม่จบ กลัวไม่มีที่ฝึกงาน กลัวทำสารนีไม่ได้ แงงงงงวงงงงงงง,0.8065
"เธออยู่ที่ไหนนนหาา😢
#singazon",0.8065
"การเงินปัญหา ใส่ชุดนักศึกษามาหาพี่ 
พี่จะเลี้ยงหรอค่ะ.  .... เปล่าพี่จะพาไปกู้ กยศ. 😂",0.8065
งาน freshy game เต็มแล้ว มีงาน staff ลักษณะอย่างนี้ให้ปี 1 อีกไหมคะ,0.8065
คือเลิกคุยกันเเบบงงๆ,0.8065
ใครอยู่หอทวินทาวแล้วมีตู้เย็นบ้างงงง,0.8066
ชอบอะไรแบบนี้ :-),0.8066
ชอบอะไรแบบนี้💕,0.8066
แอพนี้เล่นไง🤔,0.8066
แอพนี้เล่นไง,0.8066
ในมอมีร้านสุกี้ป่ะ อยากกินสุกี้แห้ง 😂,0.8066
ฝนตกแล้ว รองเท้าเปื้อนเลย เสียใจ😭😭 เสื้อผ้าเลอะได้แต่อย่ามาเลอะรองเท้าได้ไหมมมมม หวง,0.8066
ถ้าพิมพ์ค่ะ/คะผิดในนี้จะโดนด่าไหม5555,0.8066
แอพนี้เล่นไง55,0.8066
ถ้ามีเพื่อนมาขอผลแลปไปลอกโดยให้เหตุผลว่าเขาไม่ได้ให้มาอะ คือต้องตอบไงวะก็เขาให้คิดเองไง!!! เป็นคุณคุณจะตอบว่าาอะไร,0.8066
มีคลีนิกรักษาสิวดีๆแถว มธ แนะน้ำบ้างไหมคะ ??,0.8067
มีใครไปคอน zico บ้าง,0.8067
อยากถามคุณหมอ ถ้าหนูแคะขี้ตาให้เป็นเส้นๆบ่อยๆแล้วแคะแต่ละทีมันจะออกมายาวมาก และมันก็ตึ๋งๆที่ตาจั้กจี๋ มันจะส่งผลเสียไรมั้ยคะ,0.8067
วัดภาษีเอกมัย คนเยอะใหมครับแล้วปิดวางดอกไม้จันกี่โมงครับ,0.8067
ใครเคยกินชาบูลาวบ้าง อร่อยปะ คุ้มมั้ย เราเปงสาย ชีส กุ้ง ปลาหมึกอะ มีปะ,0.8067
เปิดเทอมวันแรกถ้าเอารถไปจะมีที่จอดมั้ยนะ....,0.8067
คนที่เข้าจุดคัดกรองไปแล้ว จะถวายดอกไม้จันทร์ ตอนไหนอย่างไรคะ  ใครทราบช่วยตอบหน่อยนะคะ ขอบคุณมากค่ะ,0.8067
ทำไมเราต้องไปคิดถึงคนที่ไม่คิดถึงเราด้วย,0.8067
เราเริ่มชอบเขาเข้าแล้วสิ่,0.8067
central world หางแถวอยู่ไหนคะ,0.8067
เรียนต่ออะไรดีเคลียดไปหมด ม.6 เหนื่อยขนาดนี้เลยหรอ,0.8068
อยู่ไกลจะไปสู้คนอยู่ใกล้ได้ยังไง,0.8068
What?,0.8068
"เป็นธรรมเนียมที่ว่า...
ช่วงสอบ = ไม่สบาย",0.8068
ที่ซอยวัดจันทร์ประดิษฐ์ เพชรเกษม48 มีจัดมั้ยคะ,0.8068
เหนื่อยมั้ยเพื่อนๆ ยังไหวกันอยู่รึป่าวคะทุกคน :),0.8068
ใครมีlecture วิชา #tu115 ที่จะสอบกลางภาคไหมครับบบ    ได้โปรดบอกกระผมที #lecturexzon,0.8068
ทำไมคนที่ซื่อสัตย์แม่งไม่เหลือใคร,0.8068
หนังสือไม่แตะ กระแดะจะสอบ 😭,0.8068
จะสร้างกลุ่มส่งต่อคสอ. เสื้อผ้า กระเป๋า รองเท้า ในมธ. สร้างที่ไหนดี,0.8068
"โหลวววๆทักทายชาว สามย่านมีไรอร่อยๆกิงบ้างงงแถวนั้นนน  
ปล.เด็กธรรมศาสตร์บ้าๆคนนึงอยากกคุยด่วยยย
#อะไรก็ดีเนอะ",0.8069
ส่วนใหญ่อยากอยู่บ้านหรือหอมากกว่ากันอ่ะ ถ้าแบบหออยู่ใกล้กว่าสะดวกกว่ากับอยู่บ้านแล้วต้องเหนื่อยเดินทาง,0.8069
ขอเพลงเศร้าๆหน่อยคับ,0.8069
อยากนอน แต่นอนไม่หลับ 😭😭😭,0.8069
มันเล่นยังไงนะ,0.8069
อยากนอน แต่นอนไม่หลับ,0.8069
จากกันทั้งที่ยังรักกันอยู่กับจากกันโดยที่อีกคนหมดรัก แต่เรายังรักเขาอยู่ อันไหนมันเจ็บกว่ากันนะ 🤔🤔🤔,0.8069
มีใครเคยลง effective career management inter gened บ้างป่ะ ขอรีวิวหน่อยยย,0.8069
อือ ทำไมถึงไม่เลือกอะไรที่ทำแล้วมีความสุข,0.8069
มันเล่นยังไงนะ,0.8069
แนะนำกระเป๋าโน๊ตบุ๊คดีๆสักอันโหน่ยย,0.8069
มีชมรมไรแนะนำมั้ยย,0.8069
คณะไหนไปรับน้องอ่ะ เพลงตื๊ดมากจนม่าอยากโดดตามขึ้นรถไปด้วย,0.8069
ถึงจะชอบผู้หญิง แต่ถ้าชอบคนที่เขาไม่ชอบผู้หญิงเหมือนตัวเราเอง เราก็ไม่ทำให้ตัวเองหวังจนรู้สึกหวั่นไหวหรอกนะ..,0.807
"ใครผ่านมาแล้วพอแนะนำได้แนะนำที 

มีร้านกินเบียร์ที่นั่งคนเดียวแล้วคนไม่มองไหม นอกจากบาริสต้า 

ขอบคุณค่ะ ",0.807
ตั้งเเต่ขึ้นมหาลัยมา นอนคาชุด นศ บ่อยมาก55555,0.807
ลงซัมเมอร์กันตอนกี่โมง,0.807
ถ้ามีผญ.ที่แอบชอบคุณเขาส่งเพลงไปให้คุณฟัง คุณผช.จะรู้สึกยังไง,0.807
ถ้าคุณโดนทำลายความเชื่อใจจากคนๆหนึ่ง แล้วถ้าเค้าขอโอกาสแก้ตัวคุณจะให้โอกาสเค้ามั้ย?,0.807
อยากทราบว่าตอนนี้จุดคัดกรอง ตรงแยกพระเชตุพน กับท่าเตียน คนเยอะไหมคะ,0.807
เจนเคมนี่ยังไงดีคะ ต้องต้มกินเลยมั้ย มะไหวแน้วนา,0.8071
ความบังเอิญกับพรหมลิขิต นี่ต่างกันไหม??,0.8071
รู้สึกไม่มั่นใจว่าตัวเองอยากเรียนอะไรมากๆ ลองพยายามหาแล้วแต่เหมือนมันไม่ตรงสักทาง,0.8071
มีผช สูง ขาว หน้าอปป้าๆป่ะ,0.8071
ท้องเสียจนได้ เราคงกินยาไรดี ขี้เมื่อยตูดดดดดด,0.8071
อยากกลับแล้ว พาสสปอร์ตหมดอายุ,0.8071
มีใครบ้างมั้ยที่แบบเจาะหูจิวละไม่เลือดสาด...อ่อก,0.8071
เราคุยกันทุกวันมันไม่มีโอกาสที่มันจะเป็นมากกว่านี้บ้างหรอ,0.8071
ถ้าเลิกคุยกับคนคุยเพราะนางเป็นโอตะนี่ผิดปะ,0.8072
ขอhow toสนิทกับแมวที TT,0.8072
เด็กมช.คนไหนยังไม่นอนบ้างคะ,0.8072
ทำไมอู่ไม่ใช้แผนที่อ่า,0.8072
ไม่อยากอ่านแล้วอธิฐานเอาได้มั้ยยย,0.8072
เคยเป็นมั้ย อ่านหนังสือมาแทบตาย คะแนนที่ออกมาไม่เท่ากับที่คิดไว้ นี่เราเป้นแค่คนเดียวหรือมันเป้นเรื่องปกติ,0.8072
ถ้ากลับประมาน 5ทุ่ม-เที่ยงคืน จะมีเรือไปสะพานตากสินไหมคับ,0.8072
เหงา อยากมีคนคุยด้วยแล้วไม่หายไปไหน,0.8072
ออกข้อสอบแบบนี้กลัวหนูจบไวหรอคะอาจารย์ 😂,0.8073
คุณจะไปเลือกกินข้าวฟรีกับใคร ระหว่าง #Zontu,0.8073
ไม่ได้ เข้า นาน หมี ยุมั้ย,0.8073
อิมเมจจะ featuring กะพี่สแตมไหมครับ,0.8073
เราต้องให้เกรียติกับคนที่เขาไม่เคยให้เกรียติเราไหมอ่ะ,0.8073
"-การรักใครสักคนไม่ต้องใช้การพยายาม 
   เเต่การตัดใจต่างหากที่ต้องใช้ความพยายามมากกว่า.",0.8074
จำไว้สิเพื่อนไม่มีสิทหวง ไม่มีสิทอะไร ก้แค่คุยกันแบบเพื่อน,0.8074
ขอวิธีตัดใจง่ายๆหน่อย,0.8074
คิดถึง มธ. รังสิต ไม่ได้กลับไปเกือบ2ปีละ มีไรใหม่ๆบ้างน้าาาาา,0.8074
สนามม้านางเลิ้งฝนตกหนักมั้ยครับ,0.8074
"-การรักใครสักคนไม่ต้องใช้การพยายาม 
   เเต่การตัดใจต่างหากที่ต้องใช้ความพยายามมากกว่า",0.8074
แถวม.มีร้านขายคอนแทคเลนส์ที่ไม่ใช่ร้านแว่นท็อปเจริญมั้ยอะ คอนแทคเลนส์จะหมดแล้ว จะไม่มีใส่แล้ว 😭😭,0.8074
"ไปเวียนเทียนมาจ้า วันอะไร ไม่รู้!!
#อยากไปเที่ยว",0.8074
โกรธตัวเองอ่ะ ช่วงสอบกินเกินอัตราาา 😫,0.8074
อยากได้คนติวเบฟิให้หน่อย,0.8074
มาก่อนเเต่ไม่ได้ใจ🙁,0.8074
อยากสอบเสร็จแล้ว ไม่อยากอ่าน อยากนอน5555,0.8074
เสื้อเขียวเฟรชชี่เกมส์นี้คณะไรอะ,0.8074
นอนกี่โมงกัน,0.8074
ผมหล่อโสดครับ,0.8074
มันRed velvet ยังไงอ่า แต่ที่เคลือบอาหย่อย,0.8075
ต้องไปอาบน้ำแล้ว แต่ยังนั่งไถ zon อยู่ //ช่วยด้วยยยยยย,0.8075
วันจันทร์อีกและหรอ....เบื่อจุง นอนต่อได้มั้ย😫😒,0.8075
ทำแคลได้แค่2-3ข้อ ดรอปหรือสู้ต่อดี,0.8075
เคยชอบใครที่เราเห็นเขาแค่ฝ่ายเดียวป่ะ พอถามเขาเคยเห็นเราไหมก็ไม่555,0.8075
จุดคัดกรองเปิดให้เข้าตั้งแต่วันที่เท่าไหร่ เวลาอะไรค้ะ,0.8075
อยากเจอคนที่เขาก็ชอบเราเหมือนกันบ้างจัง,0.8076
ตอนนี้ฝั่งรัตนโกสินทร์คนเยอะมั้ยคะ...,0.8076
"ขอ charger หน่อยค่ะ 
แถวนี้ มีใครมีบ้าง",0.8076
พุทธมณฑล ต้นแถวอยู่พิกัดไหนคะ  ท้ายแถวยังอยู่ในซอย แต่โชคดีที่ยังมีร่มไม้ค่ะ  อยากทราบว่าต้นแถวเป็นไงบ้างค่ะ  คนข้างหลังจะได้มีกำลังใจ :),0.8076
tu 101 เซคเช้า ออกเรื่องอะไรบ้างคะ,0.8076
เธอไม่ได้หลอกเราให้รัก แต่เราหลอกตัวเอง 😭,0.8076
หวงได้มั้ย ในฐานะเฟยหงก็ได้,0.8077
อยากมีหลังค่ะ ไม่เลือกคณะะ ขอโฉดก็พอ,0.8077
"ก็ไม่ค่อยเก้ทว่าทำไมการที่เราไม่มีเเฟน  ถึงเป็นเรื่องเดือดร้อนสำหรับเพื่อน  ก็ในเมื่อกูเเฮปปี้กับชีวิตตอนนี้!!!  ทำไมต้องพูดอะไรละคอยเหน็บกันวะงงอะ  ไม่มีผัวก็ต้องทำใจนะ ,  อ่ออเเฟนกุให้อะ ลืมไปมึงไม่มีเเฟน    ว้อทททททท ต้องการอะไร๊  ไม่ต้องถามด้วยไม่มีคนมาจีบหรอ เมื่อไหร่จะมีเเฟน  เดี๋ยวกูมีก็เห็นเองแหละ เฮ้อ",0.8077
เมื่อไหร่จะมีปัสตัวเองง,0.8077
แฟนเราทำงานบ่อยอะ คถ จังเลยค่ะ,0.8077
"""คุณไม่รู้หรอกว่ามันยากขนาดไหน ที่ต้องแกล้งทำเป็นไม่รู้สึกตลอดเวลา""  😔😔🍃",0.8078
พี่ผญ.เรียนวิศวะ ที่พาเพื่อนหนูไปศูนย์หนังสือวันนี้มันอยากรู้ชื่อพี่มากกก มาบอกหน่อยค่ะ55555 ขอบคุณพี่มากๆเลยนะคะที่พาไปป,0.8078
ที่เราต้องสอบโทอิคเราะว่าครั้งแรกเราโทรไม่ติดไงเลยต้องโทอิค โทอิค โทอิคทีได้รึเปล่า,0.8078
คนบางคนอยากจับเขย่าตัวละถามว่าเป็นโรคอะไรหรอ นิสัยแบบนี้เนี่ยมันเป็นโรคอะไรหนักหนา!!!,0.8078
"มันจะดีขึ้นใช่มั้ย , :(",0.8078
ขอhow to แยกผู้ชายแท้กับไม่แท้หน่อยได้มั้ยคะ โลกนี้มันอยู่ยากมาก ฮรึก..,0.8078
เมื่อไหร่จะมีโซนมอเราอ่ะ,0.8078
พี่ผญ.เรียนวิศวะ ที่พาเพื่อนหนูไปศูนย์หนังสือวันนี้มันอยากรู้ชื่อพี่มากกก มาบอกหน่อยค่ะ55555 ขอบคุณพี่มากๆเลยนะคะที่พาไปป,0.8078
มีใครรับสอนแคล4 MA318บ้างงงง 😭😭,0.8078
คุณไม่รู้หรอกว่ามันยากขนาดไหน ที่ต้องแกล้งทำเป็นไม่รู้สึกตลอดเวลา.🖤,0.8078
คุณไม่รู้หรอกว่ามันยากขนาดไหน ที่ต้องแกล้งทำเป็นไม่รู้สึกตลอดเวลา.🖤,0.8078
ทำไมต้องเจอเพื่อนชอบนินทา,0.8079
นอนเทได้มั้ย ไม่ต้องในฐานะอะไรเพราะร่างกายเป็นของเรา 😬,0.8079
"แค่คนๆนึงที่เราทิ้งไป 
คนที่ทำทุกอย่างได้เพื่อคนอื่น
แต่กับเรา เขาไม่ทำอะไรให้เลย
แค่นั้นเอง
ทำไมเราต้องแคร์เขาด้วยนะ",0.8079
สรุปใคร ฆ่า นานะ ..เราลืม..ใครรู้บอกที,0.8079
เพื่อนๆจัดการยังไงกับ สถานะที่ไม่ชัดเจนค้ะ?,0.8079
ทุกอย่างไม่เหมือนเดิม  ทำตัวไม่ถูก,0.8079
ทำไมดึกๆแล้วต้องเหงา,0.8079
ขอร้องไห้ได้มั้ย ในฐานะเศร้าไม่ไหวแล้วว้อยอิเชี่ยย..,0.8079
แถวคิวรอปริ้นท์เล้าจ์ชั้น1ยาวมากกก #tunews,0.8079
ช่วงที่มอปิด2-3วีคเพื่อซ้อมรับปริญญานี่เดือนไหนอะ ใครรู้บ้าง,0.8079
ที่อินเตอร์โซนมีสลัดขายไหม??,0.8079
ช่วยด้วยๆๆๆๆๆๆๆๆๆ,0.808
ฝนตกแล้วชอบคิดถึงแฟนเก่าเว้ย ขอวิธีแก้หน่อย,0.808
รถเมล์510 รอบเช้าสุดวิ่งเข้ามาในม.มั้ยง่ะ,0.808
สาวๆกำจัดขนขากันยังไงหรอ อยากเอามันออกไปมาก🤦🏻‍♀️,0.808
ช่วยด้วย,0.808
"เคยคุยจนหมดเรื่องคุยป้ะคับ แล้วเขาคุยอะไรกันต่อ555
ช่วยหาวิธีเลี่ยงการถามแบบเดิมทีคับ55 เวลาหมดเรื่องคุย
ผมชอบใช้คำว่า เดี๋ยวมา555",0.808
"การที่เขาแสดงออกมาแค่ความเป็นพี่น้องคือเขาอยาก
ให้เรารู้ว่าเราไม่มีสิทธิเป็นมากกว่านั้นใช่ไหมคะ?",0.808
ตอนนี้ยังมีที่จอดรถหรือเปล่าคะ,0.808
ช่วยด้วย 555555555,0.808
ซิ่วไปรับน้องขึ้นดอยด้วยได้ป่าว ประเด็นคือปี 4 แล้ว ร้องงง,0.808
ยังรู้สึกเหมือนเดิมอยู่ใช่มั้ย 😔,0.8081
เชียงใหม่น่าอยู่มั้ย???,0.8081
เล่นzonแต่เสิร์ทหาชื่อม.ตัวเองไม่เจอ เอ้าเศร้าไปอีก 555,0.8081
"คุยแล้วไม่ได้คบ 🙄 
#เจ็บสัส",0.8081
อยากลบจัง แต่ไม่รู้ติดอะไร😂😂,0.8081
"การประยุกต์ใช้ความรู้คณิตศาสตร์พื้นฐานม.ปลายให้เกิดประโยชน์สูงสุด 
#สมการเส้นตรงไหมล่ะมึง 
#สถิติไหมล่ะมึง
#บวกลบคูณหารไหมล่ะมึง",0.8081
ในท้องสนามหลวงคนเต็มมั้นมั้ย,0.8081
มีใครรู้จักร้านขายเค้กอร่อยๆบ้าง จะซื้อให้พี่รหัสค้าบบบ ;/\;),0.8081
ไม่ได้เหนื่อยอะไร แต่ไม่มีใจจะทำอะไรเลย,0.8081
ทำยังไงก็ไม่ยอมอ่านนส คือไม่เคยเรียนเลย วิชาคำนวนแล้วมันเป็นวิชายาก เนื้อหาก็ยาก รุ่นพี่บอกข้อสอบยากกว่า มันรู้สึกใจฝ่อๆ ทำยังไงดี ลองเปิดอ่านได้ 2 3 หน้า รู้สึกเริ่มไม่เข้าใจ แล้วก็ไม่อยากอ่านต่อแล้ว 😭,0.8081
บางครั้งก็ไม่รู้ว่าต้องรู้สึกยังไง 😔,0.8082
คือ งงในงงและก็งง งงแบบงงอ่ะ เริ่มงงแล้วว่าตกลงงงหรือโง่😂,0.8082
มีร้านไหนทำอาหารมังสวิรัติอร่อยๆแถวมธ.มั่งมั้ยหนออ,0.8082
รุ่นน้องทำขายตรงลึ่บ ทำไงเดดด,0.8082
"สวนหลวง ร.9 คนแน่นไหมคะ
ตอนนี้ยังเปิดให้วางดอกไม้จันทน์อยู่รึเปล่าคะ",0.8082
คนคุยเรากำลังไปกินเหล้าครั้งแรกในชีวิต เราอยากห้ามจัง อยากถามรายละเอียดกินที่ไหน กินกับใคร แต่เรากลัวว่าถ้าถามจะทำให้เขาอึดอัดอีก,0.8082
พึ่งสอบเสร็จ,0.8082
มันคืออะไรอะที่ตามอยู่ข้างหลัง,0.8082
ไม่ควรหวั่นไหวกับสิ่งที่ไม่ชัดเจนปะ แต่หวั่นไหวไปแล้วทำไง,0.8082
คิดมากกว่าเพื่อนนี้ผิดป่าว,0.8082
หอกลางคือมีแต่มนุษย์ล่องหนหรือยังไง โต๊ะว่างแต่นั่งอ่านหนังสือไม่ได้เพราะเอาของจองกันไว้ เพื่อ?,0.8082
ที่ไบเทคบางนาที่จอดรถยังมีมั้ยครับ,0.8082
เหนื่อยจากเรียนเเละทำงานเเล้ว ยังต้องเหนื่อยใจอีกหรอ,0.8082
อยากนอนแล้ว แต่ตอนนี้อยู่หอสมุด โอ่ยยยยยย สอบเช้าด้วย อ่านไม่ทันนนน,0.8082
วันสอบนี่โรงsc/jc เปิดไหมคะ,0.8082
ช่วงสอบก็เล่นเกมบ่อยขึ้น รู้สึกว่างๆ สมองอะ😂,0.8082
อยากให้เงินในเกมออกมาเป็นเงินในชีวิตจริงบ้าง,0.8082
อยากทราบว่า วันที่ 26 จะเข้าไปชมริ้วขบวนต้องไปกี่โมงดีค่ะ,0.8082
ตอนนี้อยากนอนต่อ.......,0.8082
บรรยากาศดีหรือไม่ครับ..สจล.เหมือนอยู่.?,0.8082
ทรมานเนอะไปรักคนที่เค้าไม่รักเราเนี้ย,0.8083
มี100บาทกินไรดีอะ55555555555555,0.8083
จอดรถแล้ว มีรถรับ-ส่งไปในสถานที่จัดงานหรือไม่ค่ะ,0.8083
ผู้ชายนี่ดูผู้หญิงแต่งหน้าไม่ออกจริงหรอ 555555 ถ้าคุณรู้ว่าเราลงอะไรไปบ้างคุณจะอึ้ง,0.8083
ชานมไข่มุก เราห่างกันสักพัก,0.8083
อยากได้เสื้อแลคตาซอยอะ,0.8083
เป็นไปได้ไหม ที่คุยกันทุกวันแต่ไม่ได้เป็นไรกันเลย 🤔🤔,0.8083
มีที่อ่านนสแถวๆมอที่ไหนบ้างที่เปิด 24 ชม😹 ที่ไม่ใช่ทูฟาสงะ,0.8083
"จุดกระทรวงมหาดไทยอยู่แถวไหนค่ะ
ตอนนี้อยู่ที่ถ.อัษฏางค์ค่ะ ริมคลอง",0.8083
มีใครเป็นโรคกลัวคนเยอะๆไหม 😂,0.8083
เคยสอบไม่ติด ช้ำใจ,0.8084
ไหนใครอยู่กพสบ้าง,0.8084
เหมือนจะอกหัก ทำใจยังไงดี,0.8084
อกหักแต่ไม่ได้เลิกกัน555555,0.8084
ชอบมาตั้งหลายปี จะให้เลิกชอบทันทีเป็นไปได้ไงล่ะ 😔,0.8084
เลี้ยงทามะยังไงอ่ออ,0.8084
จะมีวันไหนมั้ยนะ ที่จะไม่รู้สึกว่าเบื่อ😖,0.8084
หิวจัง กินไรดี แนะนำหน่อยยยย,0.8084
คิดถึงได้มั้ย ในฐานะคนเคยคุยก็ได้,0.8084
สวัสดีตอนเย็น แต่ยังไม่ได้อาบน้ำ 🌝,0.8084
อยากมีคนคุย,0.8085
เราจะได้เจอกันมั้ย แกไม่ตอบเราเหมือนเดิม แกหายไปไหน,0.8085
ใครอยู่ป๋วยคนเดียว มานั่งด้วยกันไหมครับ 😏,0.8085
ไม่พูดมากเดี๋ยวเจ็บคอ .... คอเป็นหนองหรอ,0.8085
