,text,types,keywords
215,ปีนี้ก็ต้องรอฝึกสอน ขอลงต่างจังหวัดไกลๆได้ไหมว่ะ เช่น เทคนิคเชียงใหม่ ไม่ก็ อาชีวะสงขลา ไรงี้ไปเลย ,yes_no,"year,provinces,Chiang,Mai,techniques,Songkhla"
216,มีใครได้ TU 12  LC1211 บ้างง หาเพื่อนนนนค่า เหงามากๆเลย เพื่อนเรียนคนละห้องหง่ะ,"who,yes_no","TU,LC1211,friend,Friends,room"
217,เสียใจป้ะ,,Sorry
218,วันนี้จะกินอะไรดี คิดไม่ออกแล้ว ขอไอเดียหน่อย,"what,yes_no","today,idea,Request,ideas"
219,มีใครเป็นเลิฟป่าวอ่ะ หาเพื่อนติ่ง55555,who,"love,story,Find"
220,ทำไมทุกคนลงแต่ของกิงง ฮือ หิวข้าววววว หิววววว,why,"everyone,Ginkong"
221,ตอนนี้ที่จุดคัดกรอกแต่ล่ะจุดยังมีคนอยู่ไหมครับ,what,"point,filling,point,someone"
222,ใครเคยดูช่องสบายดีทีวีบ้าง,who,"Sabaidee,TV"
223,ทำไมใจร้ายกับเราจังเลย,why,
224,ทำไมให้เงินเปลืองแบบนี้อะ เส้าาา,why,money
225,เธอเคยคิดถึงเราจริงๆบ้างมั้ย,,
226,เลิกยุ่งกับผญคนนั้นได้ไหม เรารักเธอ,yes_no,person
227,แสตนเต็มยังอ่าทา,,Stand
228,มีใครสนใจไปอนิเมท สอา นี้มั้ยยยยยยหาเพื่อนไปค่าาาา,,"anyone,anime,Find"
229,ไม่ได้รอ ไม่ได้อยากให้กลับมา แต่ก็ไม่อยากเริ่มใหม่ อาการมันเป็นยังไงวะ,how,"Did,How"
230,มีใครขึ้น apl ไปเรียนมะงับบบ มาบ่นกันหน่อยยย,who,"Let,complain"
231,นี่ใครอะ,who,
232,ในนี้มีคนอยู่ไหมเอ่ยยย,,someone
233,ขบวดพาเหรดนิเทศฯมาแล้วจ้าาา แต่งตัวเป็นอะไรมองเห็นกันมั้ยจ้ะะ,what,"Comedians,parade,dress"
234,งื้อ เมื่อไหร่จะจบบย,"when,yes_no",
235,ถ้าเบียร์ทำจากมอลต์แปลว่ามันต้องมีประโยชน์เหมือนโอวัลตินใช่ป่ะ,,"beer,malt,Ovaltine"
236,กองกิจการนักศึกษาของมธอยู่ที่หนายยยย เดินมาสามวันแล้วหาไม่เจอจ้า,yes_no,"Student,Affairs,Division,Mathayom,Walked,days"
237,แพ้คนสม่ำเสมอ แพ้คนใส่ใจ เมื่อก่อนคุณมีเวลาให้เราแต่พอเรารู้สึกทำไมคุณหายไปอะ คุณตายเหรอ งง 55555555555,"why,when","people,people,time"
238,ใครมีวาร์ปเดือนสังเคราะห์บ้างครับ ขอหน่อยๆ,who,warp
239,ไปกันมั้ยทุกคน,,everyone
240,หาเพื่อนได้ป่ะ,yes_no,friend
241,รบกวนอีกเรื่อง ร้านยำผลไม้ใต้ซิตี้เปิดมั้ยค้า,,"story,Yum,Phaeng,Tai,City,Shop"
242,Spotify ต่างจาก joox ยังไงอ่ะ เห็นพอออกมาให้โหลดมีแต่คนดีใจ แต่ที่รู้ๆตอนนี้คือเปิดพร้อมแอพนี้ละเพลงไม่ดับ,,"Spotify,joox,app,song"
243,บางแสนน้ำใสแล้วนะ เธอยังอยากไปดูทะเลกับเราอยู่มั้ย,,"Bang,Saen,water,Do,sea"
244,มีวันไหนที่ตื่นมาละไม่ง่วงบ้าง ,when,day
245,หายไปไหนแล้ววว,where,
246,มีใครสนใจไปกับเราปะ,who,
247,ใครเคยคุยกับ เบนซ์แอพแมทบ้าง,who,"Benz,AppMat"
248,หาแฟนจากแอพนี้ได้มั้ยเนี่ย ทินเดอร์ก็นก เยลก็โดนเท เห้อมมมม,yes_no,"girlfriend,app,Yale,bird"
249,ทำไมต้องมาทำให้เราหวั่นไหวด้วย,"why,yes_no",
250,ขอพื้นที่เล็กๆให้ยังเป็นเด็กอยู่ได้ไหม,yes_no,"area,child"
251,เขาขอให้อยู่รึป่าว ถ้าไม่ก็ออกมาเถอะitfeelstory,,itfeelstory
252,มีใครเล่น identity vมั้งงงงงงง,who,"identity,v"
253,มีใครเล่น identity v มั้งงงงงงงงงง,,"Has,anyone,identity,v"
254, พรุ่งนี้จะไปนอน เขาแหลมหญ้า   มีใครอยากไปด้วยป้ะคับ,"who,yes_no","Tomorrow,Laem,Ya"
255,ใครเคยมีประสบการณ์ซื้อคอนโดบ้าง มีคนมาถามขายห้องแถวปุณณวิถี เฮียว่ามันไกลไปแต่ราคามันโอเค ละก็ได้ห้องไซส์ใหญ่มาก มีบิวอินกับเฟอร์ให้ วอนผู้รู้ช่วยแนะนำที,"how,who","condos,people,Punnawithi,rowhouse,Hey,price,room,fir,Won"
256,ช่วงนี้ชอบเพลงอะไรกันบ้าง,what,"kind,music,time"
257,วันนี้ฟิตเนสเปิดไหมง่าาาาา,,"Today,fitness"
258,ตะกร้าสานแบบนี้ต้องเริ่มวาดยังไงอ่ะ ขออนุญาตวาร์ปมาถาม,how,"basket,Ask,permission"
259,ผู้ชายแพ้คำว่า คิดถึงนะ เค้าเหงา อะไรแบบนี้ป้าว 55555555555,what,"Men,words,kind,thing"
260,ใครเล่นtinder บ้าง,who,tinder
261,วันอาทิตย์แบบนี้ทำไรกันครับ,how,Sunday
262,ผู้ชายส่วนมากชอบสาวแว่นกันไหมอะะ,,"men,girls,glasses"
263,เคยมั้ยอยู่ดีๆน้ำตาก็ไหลเฉยเลยอะ,,tears
264,คือได้ยินเค้าประกาศว่าจุดสะพานปิ่นเกล้าเปิด2ทุ่มแต่จุดโรงแรมรัตนโกสินทร์ได้เข้าแล้ว คืออะไรคะ นี่อยู่หัวแถวรอมา3ชมแล้วคะ ทำไมถึงไม่ให้เข้า สติกเกอร์ก็ได้แล้ว,"why,what,yes_no","Pinklao,Bridge,pm,Rattanakosin,Hotel,Stickers"
265,รองเท้าผ้าใบสีขาวสวยๆนี้มันมีของอะไรบ้าง สำหรับผู้หญิงนะ,what,"sneakers,women"
266,วัดหัวลำโพง คนเป็นไงบ้างครับ,what,"Hua,Lamphong,Temple"
267,มันเล่นยังงายยย หลุดไปอยู่ในโซน มหาลัยอื่นแย้วว ,,"Fall,zone,universities"
268,ใครไปstarbucks บ่อยๆมั้งอะ สังเกตมั้ย มันชอบมีคนนึงน่ากลัวมากเลย ชอบนั้งตรงโต๊ะใหญ่ตรงกลาง ที่ชอบเดินไปเดินมา ยิ้มๆแปลกๆ อยู่นั้นทุกวันเลย วันนี้นางมองเรานานมากแล้วก็ยิ้มมา โคดน่ากลัว,who,"starbucks,table,middle,smile,strange,day,Today,time,smiles,way"
269,เธอจะคิดถึงเราบ้างรึป่าวนะ แต่เราคิดถึงเธอเสมอนะ,yes_no,
270,อยากรู้ว่าพวกร้านต่างๆที่ออกโปรโมชั่นสำหรับคู่รักในวันวาเลนไทน์เนี่ยจะรองรับคู่รักเพศที่3รึเปล่า ,yes_no,"shops,promotions,couples,Valentine,Day,sex,couples"
271,เปงหมูหรือเปงหมาอ่าาาาา,,"Peng,Pork,Pork"
272,มีใครเล่น harry potter บ้างมั้ยย อยู่บ้านอะไรมาแชร์กันหน่อยยย,what,"Has,anyone,harry,potter,home"
273,A Simple Favor หนังดีมั้ยย,,"Favor,Good,movie"
274,ทำไมกุ้งขี้เหยียดงี้อะ ขาเบียดstory,why,"crustaceans,story"
275,อยากกินข้าวต้มร้านไหนอร่อยบ้าง,,"Want,rice"
276,แอพนี้สร้างเพือพวกเราไหมวะ,,app
277,ใครดูเดอะมาส์กอยู่บ้าง,who,mask
278,คิดถึงงงกันมั้ยย,,Miss
279,หลังห้องใครอะแกร,,"someone,room"
280,มีใครอยู่วัดไผ่ตันไหมคะ,,"anyone,Phai,Tan,Temple"
281,ไปก้ำกันมั้ย อิอิ ,,
282,ทำไมต้องน่ารัก ไม่เข้าใจ ฮือ,why,
283,มีใครอยู่คณะฝั่งริมสวนบ้างไหมอ่า สวนของเราคือสวนลุมนะ คณะที่มีPacamara ,who,"side,park,garden,Lum,Faculty,Pacamara"
284,มีใครจะถอนวิแพ่งแจ็คกี้ไปเรียนปี4บ้าง หาเพื่อน ไม่ไหวแล้วกลัวตาย ก่อนเรียนจบ ,yes_no,"Anyone,Jackie,civilization,years,friend,graduation"
285,จะจีบผู้หญิง ทำไมผมคิดว่ามันยากกว่าจีบผู้ชายหล่ะครับ ซีเรียส ประเทศจุฬา,why,"flirt,women"
286,ใครอยู่กอฟบ้าง หาเพื่อนกินข้าว,who,"Gough,friend"
287,เล่นพับจีด้วยกันไหม ในฐานะคนไทยด้วยกัน,,"Play,Thai,people"
288,มีใครอยากเข้าด้านมืดบ้าง เราสอนเล่นDeep Webได้นะ แต่Dark Webไม่รับสอน อันตรายเกิน,"who,yes_no","side,Deep,Web,Dark,Web,danger"
289,ไหน มีใครยันหว่าง หาเพื่อนจ้าาา,which,"Find,friend"
290,วันนี้นอนท่าไหนดี,which,"Today,position"
291,หอชายมีใครยังไม่นอนมั้ยเอ่ย,,"man,sleep"
292,ใครดูบ้าง ใครเป็นแบบกูบ้างวะ 555555,who,type
293,ทำไมเป็นเราที่ยังไม่ไปไหน,why,
294,สวนสันติคนเยอะไหมคะ,,"lot,gardens"
295,หออะไรใครทายถูกให้เฉลย,what,
296,มีคนรับสอนอิ้งมั้ย แบบฝึกพูดให้คล่องงี้,,"someone,Practice"
297,มีร้านบาร์คนน้อยๆแนะนำมั้ย ไปนั่งชิลอะ,yes_no,"bar,shop"
298,ใครมาปั๊มดาวให้อะ จะขายน้ำมันอ่อ,"who,yes_no","stars,oil"
299,จะทักไปอวยพรวันเกิดเธอดีไหมนะ,yes_no,"goodbye,birthday"
300,ฝนตกแบบนี้ต้องทำอะไร ,what,rain
301,พี่น้องนี่เขาบอกฝันดีกันป่าวอะ,,brother
302,น้องชุ้งพี่เจอตังน้องมารับด้วย 3 พอมั้ย,,"Nong,Chung"
303,โซนนี้ที่ไหนเด็ด,where,zone
304,คิดถึงได้ไหมอ่ะ ฟ้าถล่มแบบนี้,yes_no,"Blue,collapses"
305,ยังมีเรือข้ามฟากจากวังหลังไปท่าราชินีไหมคะ,,"ferry,Wang,Lang,Queen"
306,พี่มาสค็อตหมีไปเรียนปะพรุ่งนี้,,"mascot,bears,tomorrow"
307,ในชาบูลาวหมูอะไรอร่อยคะ555555,what,"Shabu,Lao,Pork"
308,มีใครกำลังมองหาชีทสรุป FD211 อยู่มั้ยน้า ตั้งใจทำมากๆๆ ฝากด้วยนะงับ,,"anyone,sheet,FD211,Do"
309,PY228วันศุกร์นี้หยุดรึเปล่าครับ,,"PY228,Friday"
310,ฉันรู้ว่าเธอจะยิ้มแบบไหน,what,"kind,smile"
311,ชอบกินไรร้านน้องแอมมม โรงsc กันบ้าง แชร์โหน่ย,what,shop
312,ทานป่ะแก,,Eat
313,ซาวเช็คคค ใครไปมั้ง,who,
314,ญี่ปุ่นช่วงเดือน7ตั๋วถูกมากกกก อยากไป แต่ร้อนอะะ เอาไงดี,,"Japan,month,tickets"
315,ใครนั่งกินข้าวคนเดียวประจำบ้าง,who,
316,อยากได้เพลงสากลเศร้าๆ เอาแบบดิ่งลงไปเลยก็ได้ใครมีเพลงในใจแนะนำหน่อย,"who,yes_no","universal,song,Can,down,anyone,song,heart"
317,ถ้าไม่นอน ยาก่อนนอนต้องกินยังไงอะยาก็มีแล้วขาดก็แต่คนดูแล,how,bedtime
318,พี่สแตมเมื่อไหร่จิมาาา,when,"Stam,elder,Jimaana"
319,ใครนั่งรถไฟฟ้าไปกลับบ้าง เราไปกลับแต่ละทีท้อแท้มาก รอหลายขบวนกว่าจะได้ขึ้น ร้องไห้หนักมาก,who,"train,time"
320,เมื่อไหร่จะเลิกอ้วนสักที,"when,yes_no",
321,มีใครสนใจเข้าร่วมงานวิชาการด้านความเสมอภาคทางเพศไหมคะ ใกล้ๆจุฬานี้เอง,,"anyone,work,gender,equality,place"
322,ผญมีแก้มมีเหนียงเยอะๆนี้น่ารักมั้ยฮับ,,"Cheek,lot,wattle,cute"
323,ดึกๆคนเหงาเขาทำอะไรกัน,what,"night,people"
324,พึ่งตื่นไม่กี่ชั่วโมงเอง ทำไมถึงง่วงนอนแล้วละ,why,hours
325,มาทำอะไรที่zon,what,zon
326,สะพานมอญอยู่ด้านใหนของสนามหลวงค่ะ,,"Mon,Bridge,side,Sanam,Luang"
327,Camp maya เชียงใหม่ คนน้อยรึยังงงงอะ,,"Camp,maya,Chiang,Mai,Are,person"
328,นิด้าถือว่าดังมั้ยอะ เราเห็นมีทุนเยอะอะ เผื่อเรียนโท ไม่ดราม่านะ,,"Nida,lot,capital,Master,drama"
329,ยุงเยอะไปมั้ย,,mosquitoes
330,เมื่อไหร่จะมีคนมาชอบแอนนี่นะ ฮี่ๆๆๆๆๆๆๆ,"when,yes_no","someone,Annie"
331,ทอมดีๆไปไหนหมด,where,Tom
332,มีใครอยากลองมั้ยอะเราปล่อยต่อออออ อย่าว่าเลย ขอหน่อยนึงหน่า ,,"Has,anyone,Ooo"
333,มีใครไปใช้สิทธิ์ กินฟรี  ลด 8  1แถม1 บ้างยัง polloftheday,who,"right,get,polloftheday"
334,วันนี้มีนี่หรอ หมีไปงานด้วยหรอๆๆๆ,,"today,bear,while"
335,ที่ชมฝนตกป่าว,,rain
336,ที่ศาลากลางนนทบุรีมีจัดถวายมั๊ยค่ะ,,"Nonthaburi,City,Hall"
337,ใครมาปล่อยมาทักเปียกปูนได้นะค่าบบ  piakpoonthebunny,who,piakpoonthebunny
338,มีแรงบันดาลใจแบบไหน ที่จะทำให้เราอยากอ่านหนังสือบ้าง ,"what,yes_no","kind,inspiration,books"
339,ลานพระรูปเข้าได้อีกมั้ย,yes_no,enter
340,กล้วยทอดอินโดที่โรงscขายไหมม,,"bananas,factory,sale"
341,เคยฟังกันรึป่าว เพราะมาก ชอบๆๆ 555555555,,
342,เคยเป็นมั๊ย ที่เวลาดึกๆก็จะคิดถึงคนๆนึงขึ้นมา ทั้งๆที่คิดว่าลืมได้แล้วคิดว่าจะไม่คิดถึงแล้วและตอนนี้ก็กลับไปเป็นแบบเดิมไม่ได้แล้ว,yes_no,"night,person,spite,thought,form"
343,ถ้าบังเอิญเจอกันจะยังทักกันอยู่มั้ยนะ,yes_no,hello
344,วันที่ 1 ธค ยังมีบูมบัณฑิตอยู่มั้ยคะ,,"graduate,boom,Day"
345,ใครอ่านเว็บตูนบ้างงง เรื่องโปรดตอนนี้ของเราต้องให้สองเรื่องนี่เลย อยากให้ทำเป็นซีรีย์มากก ,who,"web,site,story,stories,series"
346,มีใครเคยกินร้านนี้บ้าง,,"Has,anyone,store"
347,ใครอยู่ในจุดที่ความรักแบบคนรัก ไม่จำเป็นกับชีวิตแล้วมั่ง คือ เวลาคุยกับใครมากๆ แล้วเหมือนมันจะต้องจริงจังทีไร เราจะถอยออกมาทุกทีเลย ไม่ใช่ว่าอีกฝ่ายไม่ใช่ ไม่ดี หรืออะไรนะ คุยรู้เรื่อง สนุก เข้ากันได้ โอเคหมดทุกอย่าง แต่พอมันถึงจุดที่เขาหรือเรา รู้สึกว่ามันอาจจะต้องขยับความสัมพันธ์ เราจะไม่ไปต่ออะ เขาก็จะหายไป ละเราก็โอเคกับการที่เราอยู่คนเดียวแบบนี้ จนมีใครมาใหม่ ละก็พังไป วนลูปอ่ะ เฮ้ออออ,"where,yes_no,when,who","point,love,lover,life,time,people,party,anything,Talk,fun,Everything,point,relationship,someone,loop"
348,มีใครหน้าสดไปเรียนบ้างมะ,who,face
349,ใครเคยกินยำแซลม่อนที่อินเตอร์มั่งงง ยำกับลาบอันไหนดีกว่าา,"who,which","salad,Inter,Mang,Which,spicy,Laab"
350,เคยเป็นคนเหงา 217 มาแล้วทั้งปี นี่จะหมด 218 แล้วนะ มีใครมาเหงาเป็นเพื่อนกันมั้ย,yes_no,"person,year,Has,anyone,friend"
351,นอนยังจ๊ะ,,
352,มีใครชอบผู้หญิงเหมือนกันไหม,,"anyone,women"
353,วัด วชิรธรรมสาสิต สุขุมวิท11 คนเยอะมั้ยคะ,,"Wachiratham,Sasan,Temple,Sukhumvit,people"
354,วันหยุดไปเที่ยวไหนกานนน,where,"holiday,Kanon"
355,วันนี้เสื้อเขียวเต็มมอ ตกใจเว่อ มีงานไรร,,"Today,shirt,shock"
356,วันจันทร์ ที่มหยุดไหม,,Monday
357,ใครมีสรุปวิชา tu11 เรื่องโลกาภิวัฒน์บ้างอะ ออดิศร นะ,who,"summary,tu11,subject,globalization"
358,ที่มหิดลมีอะไรอร่อยบ้างงงงใครตอบตัวเองขออนุญาตรับประทานนะคะใส่หอมา,"who,yes_no","Mahidol,something,permission"
359,สเป็คของแต่ละคนเป็นไงบ้างๆ,how,"person,spec"
360,มีใครว่างบ้าง ไปกินข้าวเป็นเพื่อนหน่อย หิวข้าวว,who,"friend,Hungry"
361,ใครตามเรื่องนี้อยู่บ้าง สนุก ๆ ทุกคนคิดว่าไง คุยสัพเพเหระ,,"story,Everyone"
362,ปีใหม่นี้ สนใจไป Big Mountain เป็นแฟน เอ้ยยเป็นเพื่อนเราไหม 55555555555,,"year,Mountain,fan,Are,friends"
363,อยากกินหมูกระทะ ไม่มีคนไปด้วยเลยมีใครสนใจไปด้วยกันมั้ย,,"Want,pork,pan,No,one,anyone"
364,ทำไมวันนี้เนื้อหามันวิทย์จังเลยวะ,why,today
365,คนไปบาหลีเยอะมากกเลยตอนนี้ เลื่อนไอจีก็เจอ เพื่อนซอนใครมีแพลนไปบ้างป่าวว,who,"People,lot,Son,plans"
366,ใครเป็นบ้าง เวลาไม่สบายแล้วชอบร้องไห้,"who,when",
367,มีใครเล่นปิงปองเป็นบ้าง อยากหาเพื่อนเล่นครับ,who,"tennis,friend"
368,วันนี้จะมีอินเตอร์โซนไหมอะ ฝนก็ตกกด้วยย,yes_no,"Today,inter,zone"
369,ใครเก่งอิ้ง มาติวให้หน่อยยเรามีควิซ,who,"Come,quizzes"
370,แถวนี้มีใครดุบ้างจ๊ะ,who,
371,Admin แจ้งข่าวหน่อยคะ จะเปิดให้เข้ากี่โมงเอ่ย,"what,yes_no","Admin,news,time"
372,ออเคมสอบบ่าย2ครึ่งป่ะ,,"Okay,afternoon,test"
373,ใครอยู่คอนเสิร์ตละบ้าง,who,concert
374,วันนี้เห็นคนใส่เสื้อสีเหลืองเต็มไปหมด เกิดอะไรขึ้น,what,"Today,people,shirts"
375,ไม่ชอบคนแบบไหนมากกว่ากัน,what,"kind,person"
376,น้องจะผ่านพรุ่งนี้ไปได้อย่างไร,"how,yes_no",tomorrow
377,ลานพระบรมรูปทรงม้าคนเยอะรึยังคะ,,"Are,patios"
378,ในนี้เป็นเพศอะไรกันบ้างเอ่ยย polloftheday,what,"sex,Polloftheday"
379,เข้าใจกันหน่อยได้ไหม,yes_no,
380,มีใครต่อแถว เข้าถวายดอกไม้จันทร์ที่ลานพระบรมรูปทรงมาบ้างคะ ตอนนี้แถวหยุดนิ่ง อีกนานไม๊คะถึงจะเปิดจุดนี้ คนต่อแถวยาวมากๆคะ,who,"flowers,courtyard,statue,line,time,spot,People,line"
381,มันจะมีคนที่ไม่ได้มองกันแค่ภายนอก รูปร่างหน้าตาบ้างมั้ย,"who,yes_no","people,shape"
382,สอบวันนี้เป็นงี้กันไหม,,"exam,today"
383,ท่าช้าง กับ ท่าพระจันทร์ จุดไหนน่าจะยังเข้าได้คะ,"where,yes_no","Tha,Chang,Tha,Prachan,access"
384,ใครสั่งสุกี้,who,Suki
385,มีค่ายอาสาค่ายไหนจัดช่วงปลายเดือนธันวาถึงมกราคมบ้าง,which,"camps,end,December,January"
386,ไปดู the nun กันมั้ย ไม่มีเพื่อนไปปป,yes_no,"nun,friends"
387,ทำไมอ่านสือคืนนี้ปวดคอจังอะ ไม่เอาสิ กลัวแล้วนะ ,why,"media,tonight,neck,aches"
388,ทำไมถึงเหงาขนาดนั้นน,why,
389,เพื่อนๆจ๋า ใครรู้บ้างว่าแถวมอที่ไหนมีถุงแยกผ้าขายบ้าง ที่เราใส่ผ้าเล็กๆน้อยๆตอนซักได้อ่ะ อยากได้มาก ขอขอบคุณล่วงหน้าเลยละกัน,"who,what,when,yes_no","friends,bags,cloth,lot,Thank,advance"
390,มีใครไปดูคอนเสิร์ทมั้ยเนี่ยhttpsyoutubeKkOF8UiB7u8,,"anyone,concert"
391,ใครเคยดู อนาเธอร์ สปอยให้ฟังหน่อยค่ะ จะเอาข้อมูลไปทำงาน55555,who,"Anastasia,Will,data"
392,มีใครอยู่มอบ้าง เปิดตี้ ก้ำๆๆๆๆๆ,who,"people,others"
393,หิวข้าวจัง มีร้านอาหารอร่อยๆแนะนำมั๊ยครับ,yes_no,"Hungry,restaurants"
394,เรือจ้ามฝากไปยังท่าราชินี ยังมีบริการมั๊ยะ่ะ กำลังเดินทางไปค่ะ,,"Ship,Queen,services"
395,ร้านนี้น่ากินสุด ใครเคยไปมั่งมารีวิวหน่อยยยยยย,who,shop
396,ทำไมเป็นคนร้ายๆGenGenetics,why,"villain,GenGenetics"
397,มีใครเล่นแอพ Smule กันบ้างมั้ยฮะตอนนี้คือติดมาก แบบไม่ไหวแล้ว แง,,"Has,anyone,Smule,Ca"
398,จุดคัดกรองถนนกัลยาณไมตรีตอนนี้คนเยอะรึยังคะ,,"point,Kalyanamitri,Road,lot"
399,จุดคัดกรองถนนกัลยาณไมตรีตอนนี้คนเยอะรึยังคะ,,"point,Kalyanamitri,Road,lot"
400,เพื่อนกันมันก็จีรังควรเป็นแบบนั้นมันดีกว่าไหมเพื่อนเธอเหมือนเดิม,yes_no,"Friends,friends"
401,ถ้ามาจากท่าเรือศิริราช แล้วไปขึ้นท่าพระจันทร์ เพื่อไปวางดอกไม้จันทร์ถวายพระบรมศพ ได้ใช่ไหมคะ เปิดท่าเรือทั้ง2 นี้ใช่ไหมคะ,,"Siriraj,Pier,Tha,Phrachan,flowers,moon,remains"
402,เธอคนนั้นจะเล่นแอพนี้ด้วยไหมนะ,yes_no,"person,app"
403,ทำไมความรักของชาวจุฬาฯ มันดูโสดจังเลยวะ ,why,"love,Chula,people"
404,เคยสนใจกันบ้างป่ะ,,
405,ขอรับบริจาคชีท mircroecon EE211 ของbe เพราะตอนนี้โดนพี่รหัสเทไปแล้ว มีใครมีชีทบริจาคให้น้องที จะmidterm แล้วค่า ,who,"mircroecon,EE211,sheet,Who,donation,sheet,youngsters"
406,มีใครเล่นอยู่ม้ะ อยากได้ดาวเยอะๆ  กดค้างรัวๆ,,"Has,anyone,stars"
407,พื้นที่ถนนราชดำเนินจะเปิดให้ประชาชนเข้าไปนั่งได้มั๊ยครับ หลังจากปิดการจราจร1ครับ,yes_no,"Ratchadamnoen,Road,area,public,traffic"
408,เงียบจัง คนเล่นกี่คนเนี่ย,how,players
409,เล่นยังงายยยยยย,,Play
410,ทำไมพี่วิดวะคนนั้นน่ารักจังเลยอะ,why,"elder,widow"
411,วันแม่ปีนี้ มีสะใภ้ให้แม่รึยังคะ,,"Mother,Day,year,mother-in-law"
412,ทานข้าวเที่ยงกันป่าว  บาร์ iup,,"Have,lunch,bar,iup"
413,มีไหม ใครที่นอนดึกละตื่นเช้า เพื่อมาเรียนวันเสาร์ 55555555,who,"anyone,Saturday"
414,อ้อนใครได้บ้าง,"who,yes_no",
415,รถเมล์วันที่26นี้ไปจอดถึงสนามหลวงไหมครับ,,"Buses,day,Sanam,Luang"
416,มีใครไปคอนเอสเจไหม ที่เปิดจองบัตร23ธค นี้ๆๆๆๆๆๆๆ,which,"anyone,Which,tickets,year"
417,วัดปุรณาวาสคนเยอะมั้ย,,"Puranawat,Temple,lot,people"
418,เมื่อไหร่บัตร Ed จะประกาศผัง,"when,yes_no","Ed,card"
419,ทีมงาน ZON ครับ Application นี้จปิดการใช้งานเมื่อไรครับ,when,"ZON,team,application"
420,มื้อดึกนี้กินไรดีอะ มีมาม่า ข้าว ไข่ แฮม ไส้กรอก หมู,,"night,meal,eat,mama,rice,eggs,ham,pork,sausage"
421,ทำไมกวางเรนเดียร์แล้วยังต้องเดียร์,why,"reindeer,deer"
422,ทำไมสาวมธน่ารักจังฮะ,why,"Math,cute,girl"
423,ต้องอยู่แบบนี้ไปอีกนานแค่ไหน,"how,yes_no",
424,มีใครไปดูวอลเลย์ World Grand Prix ที่อินดอร์บ้างงงง ,,"Someone,Whaley,World,Grand,Prix,Indore"
425,ทำไมเดี๋ยวนี้เด็กจุฬาชอบโจมตีสถาบันตัวเองจังอะ ไม่ภูมิใจกันแล้วหรอ ขนาดเรื่องชุดนิสิตยังดราม่า นี่ยังลามมาเรื่องงานบอลอีก งงอะ แทนที่จะช่วยกันพัฒนา,why,"Chulalongkorn,children,institution,size,student,series,spread,ball,work"
426,ความน่ารักของเธอฉันขอเก็บมันไว้ดูเเบบนี้ตลอดไปได้ไหม,yes_no,"cuteness,forever"
427,ทำไมต้องมารับปริญญาชนกับสอบมิดเทอม เศร้าาาา,"why,yes_no","degree,midterm,exam"
428,ใครเคยคุยกับเด็กวิทยา ชช มาแชร์,who,"child,science"
429,ทำไมต้องกดดันเราขนาดนี้ด้วย เราก็เหนื่อยยะ,"why,yes_no",size
430,ทำไมต้องมีสอบด้วย,why,exam
431,The nun ออกจากโรงยังงง,,"nun,factory"
432,โรงดึกธรรมศาสตร์ร้านไหนอร่อยสุดครับ,which,"Thammasat,Night,Club,restaurant"
433,มีวิธีผ่อนคลายความเครียดกันไหม แชร์เก๊าหน่อยยยยย,,"way,stress,Share,Macau"
434,ไม่คิดถึงกันบ้างหรอเธอ,,
435,ลำไย ไหทองคำ ดังเพราะอะไร,what,"jar,longan"
436,พรุ่งนี้ ซอมบี้หล่อไหม จะไปดู,,"Tomorrow,zombies"
437,ทำไมเทกันง่ายจัง,why,
438,นึกถึงกับคิดถึง เหมือนกันไหม,,
439,ทำไมช่วงนี้ชีวิตห่วยแตกจังวะ,why,life
440,อะไรอีกอ่ะ แล้วเป็นอะไรอีก เป็นอะไรอีกแล้วอ่ะ คือแบบ ไม่เอาได้ป่ะ สำหรับผชคือมันอาจปกติ แต่เราเซ้นซิทีฟว่ะ,what,
441,ทำไมกับข้าวบางอย่าง ราคาไม่ตรงป้าย,why,"dishes,Price,sign"
442,หิวตอนดึก สุดท้ายต้องมานั่งกินธัญพืช ใครเคยกินพวก muesli หรือ diamond grain มาปรับทุกข์กันได้,,"night,grains"
443,เมื่อไหร่ไฟจะมาาาา,"when,yes_no","fire,come"
444,คิดว่าสุดท้ายแล้ว ชีวิตเราต้องการความรัก หรือ เงิน มากกว่ากัน vs,,"lives,love,money,vs"
445,จบ Siit em เกรดห่วยๆ toeic 9 หางานทำครับ มีอะไรให้ทำบ้าง ฮือออ จะสมัครอะไรก็ประสบการณ์อย่างน้อย1ปีหมดเลย,what,"Siit,em,grades,toe,job"
446,พรุ่งนี้เรียนกันไหม,,"Tomorrow,learn"
447,คนใจร้ายนี่เป็นเทรน ถึงเจอแต่คนแบบนี้itfeelstory ,,"heartless,person,trainee,itfeelstory"
448,กลางวันนี้กินไรดี,,day
449,กลางวันนี้กินไรดี,,day
450,มาขึ้นดอยกับพวกเราไหม,,
